@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute 'time_of_day' {early_morning,morning,noon,afternoon,evening,night,post_midnight}
@attribute 'time_since_last' numeric
@attribute 'average_user_likes' numeric
@attribute 'likes' numeric 

@data
21,female,979,0.622712006033,6,afternoon,?,3.63,0
?,female,593,0.700557445061,1,post_midnight,48,1.847,0.0
21,female,1660,0.671910014644,11,post_midnight,26,25.434,3.04452243772
?,female,573,0.742566084267,4,post_midnight,51,7.95,1.60943791243
?,female,668,0.885870618709,5,afternoon,997,5.23,1.94591014906
?,male,657,0.654004523183,9,evening,211,9.31,1.79175946923
?,male,1030,0.783997756605,8,morning,19,4.48,1.09861228867
21,female,979,0.744215872774,12,night,7,3.63,1.09861228867
21,male,612,0.634792902589,2,post_midnight,22,6.38,0.69314718056
20,male,282,0.747880401546,9,night,333,2.267,0
21,female,697,0.6,10,afternoon,7,3.93,1.09861228867
20,male,876,0.749593280675,11,afternoon,97,2.97,2.07944154168
?,male,None,0.773985905658,9,night,65,8.051,3.7135720667
20,male,783,0.550375485592,10,post_midnight,21,7.737,0.69314718056
?,female,641,0.558396637631,7,post_midnight,106,5.172,0
?,male,368,0,2,early morning,5,4.583,1.09861228867
19,male,451,0.622916964197,1,afternoon,12,3.66,1.09861228867
20,female,1530,0.50888768911,8,post_midnight,508,6.1,0.0
?,male,1036,0.578994596475,10,post_midnight,50,12.79,2.77258872224
?,male,None,0.784495763701,7,afternoon,539,2.6,0.69314718056
?,female,937,0.570327127214,7,post_midnight,21,2.326,0
?,male,2119,0.568191715047,2,night,0,3.37,0.0
?,female,1237,0.647002857953,3,night,7,20.13,2.7080502011
?,male,1903,0.55742943409,4,post_midnight,53,4.263,0.69314718056
21,male,803,0.537961365484,1,post_midnight,797,11.91,2.48490664979
?,female,2032,0.858756417539,7,evening,90,10.58,2.30258509299
?,male,None,0.55434163686,8,night,32,8.051,0
?,male,1101,0.697471152093,1,evening,2,14.12,2.63905732962
21,female,979,0.506156565645,2,night,739,3.63,0.69314718056
20,male,569,0.550525072574,10,afternoon,85,2.67,0.69314718056
?,male,1376,0.741814164673,9,post_midnight,168,7.98,0
?,male,1551,0.771651712604,8,night,497,13.91,2.19722457734
20,male,818,1.04454336689,9,early morning,38,6.2,0.0
?,female,1068,0.607757806287,8,afternoon,38,9.85,0.69314718056
?,male,1016,0,8,afternoon,580,9.576,0
?,female,324,0.560158988652,11,post_midnight,77,4.01,0
21,female,895,0,2,evening,115,6.102,1.79175946923
23,female,163,0.403584812024,5,afternoon,22,2.61,0
?,male,None,0.591195797829,7,post_midnight,42,4.022,1.38629436112
?,female,1492,0.638238711005,8,morning,149,4.427,0.0
20,female,509,0.750377626862,1,night,290,2.8,1.79175946923
?,female,381,0.612081383221,3,night,6,6.1,0.69314718056
20,female,689,1.14097239357,6,afternoon,140,5.885,0.69314718056
?,male,1494,0.677036456145,12,evening,112,5.14,0
?,female,1204,0,1,early morning,59,14.1,0
?,male,560,0.669857036618,1,post_midnight,19,2.1,1.09861228867
?,female,624,0.567319001808,10,evening,191,2.33,0
?,female,614,0.666993264515,2,night,311,9.927,2.3978952728
?,male,1036,0.412395865778,8,night,380,4.12,0
?,male,625,0.506885616255,6,evening,6,6.69,2.8903717579
20,male,1069,0.551181381336,2,night,75,3.723,0
22,male,624,0.609729483883,10,post_midnight,94,2.47,0.0
?,male,1593,0.616627726016,9,post_midnight,361,6.58,1.09861228867
?,male,560,0.555522034142,12,post_midnight,1,2.1,0
26,male,171,0.536312834046,1,post_midnight,419,1.682,0.0
?,female,701,0.760412963837,2,afternoon,50,19.427,2.30258509299
?,female,560,0,5,evening,3,9.69,1.79175946923
?,male,980,0.402624355658,7,afternoon,91,5.3,0
?,male,368,0,6,afternoon,1,4.583,0.0
?,female,None,3.20152851264,11,post_midnight,26,18.444,2.3978952728
?,male,657,0.709131096374,5,evening,68,9.31,1.94591014906
24,male,355,0.923158533578,3,post_midnight,126,3.65,1.79175946923
19,female,665,0.592139132073,2,post_midnight,336,8.279,2.48490664979
?,male,563,0.630954040475,2,evening,1,3.212,0
?,female,810,0.73179163864,11,evening,3220,6.29,3.17805383035
20,male,282,0.96135169843,6,post_midnight,240,2.267,1.38629436112
?,male,870,0.582594801343,3,evening,189,11.05,2.30258509299
29,male,1177,0.840288116847,7,afternoon,986,15.663,2.19722457734
?,male,1036,1.0714836678,5,post_midnight,4,4.12,0
?,?,944,0.627276662233,7,early morning,285,6.88,1.09861228867
?,male,None,0.635194301567,7,evening,0,4.022,1.60943791243
?,female,749,1.59082219531,1,night,91,5.63,1.60943791243
20,male,387,0.833001658702,12,afternoon,640,3.917,1.60943791243
?,female,323,0.687727367662,1,post_midnight,764,1.391,0
20,male,822,1.16258781761,9,post_midnight,0,9.98,2.94443897917
?,female,1254,0.85437140611,5,post_midnight,141,7.704,1.60943791243
?,female,395,0.989296956752,12,evening,13,3.18,0
?,male,288,1.0,12,post_midnight,137,6.57,1.94591014906
23,female,725,1.42009699137,1,early morning,0,7.43,2.30258509299
?,female,610,0.554306212398,12,evening,16,5.82,0.69314718056
20,female,377,0.51824138881,1,early morning,39,11.2,1.38629436112
?,male,971,0.895266651907,1,morning,550,19.869,3.36729582999
?,male,1238,0.517307692308,1,afternoon,53,3.869,0
?,male,804,1.32967791792,7,morning,210,5.0,0
?,female,505,0.798879700435,9,post_midnight,7152,6.771,1.94591014906
19,male,None,0.687513575792,8,evening,333,5.86,1.09861228867
26,female,538,0.451397450914,11,afternoon,?,2.47,1.38629436112
?,male,1100,0,11,afternoon,74,4.172,0.0
20,male,34,0.710187954286,1,night,1041,1.313,0.69314718056
21,male,645,0.555440043985,2,evening,310,13.18,1.09861228867
?,male,607,0.767008565308,1,early morning,98,2.97,0.0
21,male,2216,0.358376973917,3,early morning,8,17.68,2.94443897917
?,female,771,0.546153846154,12,afternoon,109,3.98,0
?,female,586,0.542351186384,2,evening,15,7.34,0.0
21,female,892,0.378583571642,5,post_midnight,102,12.73,1.60943791243
21,male,937,4.56238019823,5,evening,120,10.69,2.94443897917
?,male,470,0.694409068184,10,night,117,3.4,1.38629436112
?,male,183,0.568493662606,10,post_midnight,1229,1.667,1.79175946923
19,male,None,1.22222222222,7,afternoon,134,5.86,0.0
?,male,1125,0.961513375862,12,night,18,6.798,0.69314718056
18,male,1170,0.61827281614,1,evening,2178,2.198,0.69314718056
20,female,404,0.668707569607,1,afternoon,156,2.875,0
20,male,1213,0.81855182625,2,post_midnight,46,7.88,2.19722457734
?,female,738,0.888554085748,10,afternoon,87,10.41,1.79175946923
?,male,752,0.689689186038,3,night,668,10.26,0.69314718056
?,male,403,0.682919094254,4,afternoon,11,1.276,0
?,male,586,0.770951077854,11,post_midnight,202,6.1,1.38629436112
20,male,433,1.79166661238,12,post_midnight,151,2.37,2.3978952728
?,female,1170,1.14097239357,4,night,577,3.35,0.0
?,male,397,0.545839508209,8,afternoon,96,4.79,1.60943791243
?,female,1701,0.721822690303,5,evening,115,11.54,2.3978952728
?,female,381,0.763359688558,1,post_midnight,142,6.1,2.30258509299
?,female,414,0.406378990823,7,morning,541,3.448,0.0
20,male,369,0.77126587719,1,evening,93,4.702,0.0
26,male,None,0.427664298664,2,morning,219,3.5,1.09861228867
21,female,484,0.605999111027,5,evening,41,8.73,1.79175946923
?,male,803,0.537990978781,11,post_midnight,91,5.441,0
?,female,824,0.864391626087,1,post_midnight,97,4.07,1.38629436112
19,female,696,1.88318419658,1,afternoon,1697,2.232,0.69314718056
18,female,1748,0.756158424908,3,post_midnight,76,3.57,0.0
?,male,None,0.721395278597,10,afternoon,11,1.72,1.94591014906
?,female,215,0.53405641068,4,evening,554,1.89,0.0
20,male,257,1.38409788209,6,night,43,2.01,0.69314718056
?,female,285,0.50228832166,9,night,25,4.101,0.0
?,female,None,0.767607218553,10,post_midnight,124,4.89,1.94591014906
18,male,1170,0.559578148256,2,evening,0,2.198,1.79175946923
?,female,326,0.642774457625,2,afternoon,70,2.74,0
?,female,5000,0.752641094428,2,evening,14,24.488,3.55534806149
?,male,586,0.54562630309,12,afternoon,187,6.1,2.48490664979
20,male,783,0.678432875539,2,early morning,56,7.737,0
?,female,1356,0.895266651907,12,early morning,152,9.38,2.48490664979
21,male,862,0.590602667618,7,night,316,3.82,1.09861228867
20,male,597,0.849677504481,1,evening,2440,1.82,0.69314718056
19,male,1066,0.600438142774,8,post_midnight,105,2.67,0.0
20,male,748,0.581016414101,7,afternoon,274,8.06,2.30258509299
?,female,431,0.922776710977,1,afternoon,16,7.16,1.79175946923
?,female,1592,0.577600352201,3,post_midnight,1246,3.44,1.79175946923
?,male,None,0.465556602573,7,post_midnight,119,8.063,0
?,female,1179,0.65050416332,10,post_midnight,100,1.913,0
?,male,None,0.556337759031,8,early morning,70,8.542,0
21,female,484,0.754456454028,12,evening,113,8.73,0.69314718056
?,female,None,0.429898373641,10,night,66,10.0,2.3978952728
20,male,282,0.63387036122,1,early morning,912,2.267,0.0
18,female,506,0.633075781384,10,post_midnight,93,3.783,0
?,?,660,0.579215117456,7,evening,29,4.69,0.0
20,male,569,0.638254108102,5,evening,26,2.67,0.0
?,female,879,0.874412204182,10,afternoon,133,8.333,2.7080502011
18,male,781,0.494850321851,11,evening,268,2.9,0.69314718056
20,male,257,0.757064348508,8,evening,60,3.46,2.07944154168
?,female,624,0.582451595356,6,afternoon,18,2.33,0.69314718056
?,male,1030,0.760083235394,2,post_midnight,45,4.48,0
21,female,289,0.405119649351,6,afternoon,161,1.546,0.0
?,male,1593,0.725377149952,4,post_midnight,1,6.58,1.60943791243
?,male,1903,0.6668319414,3,post_midnight,0,4.263,0
?,female,1237,0.530735761601,11,early morning,36,20.13,2.99573227355
?,male,None,0.594502165873,9,night,42,1.72,1.60943791243
?,male,852,0.561040982005,1,morning,609,4.43,2.07944154168
?,male,539,0.623680379043,2,evening,427,1.457,0.0
?,male,None,0.729658005669,5,post_midnight,47,1.72,2.07944154168
20,male,681,0.613833984691,7,early morning,70,2.629,0.0
21,female,289,0,12,post_midnight,29,1.546,0
?,female,781,0.490000105741,5,afternoon,50,8.57,1.60943791243
20,female,548,0.682674044247,9,early morning,533,3.806,2.19722457734
20,female,377,0.630169882401,10,evening,17,11.2,1.09861228867
