@relation training

@attribute 'age' numeric
@attribute 'gender' {male,female}
@attribute 'friend_count' numeric
@attribute 'message_score' numeric
@attribute 'month' {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute 'time_of_day' {early_morning,morning,noon,afternoon,evening,night,post_midnight}
@attribute 'time_since_last' numeric
@attribute 'average_user_likes' numeric
@attribute 'likes' numeric 

@data
?,male,?,0.781327467614,11,post_midnight,30,7.36,1.38629436112
20,male,305,1.02830841469,7,evening,96,2.5,0.0
?,female,948,0,10,afternoon,493,2.904,0
?,female,347,0.489674248547,3,early_morning,149,2.51,1.09861228867
19,male,?,0.733898889602,1,post_midnight,572,9.727,3.04452243772
?,female,1060,0.302556818182,5,post_midnight,0,11.37,0.69314718056
?,male,?,0.64478167145,7,post_midnight,619,2.34,0.69314718056
?,female,794,0,2,early_morning,122,19.21,3.13549421593
?,male,998,0.533198426586,9,evening,573,5.65,0.0
19,male,?,0.911818724426,11,post_midnight,23,9.727,2.56494935746
?,female,1184,0.73827303804,1,evening,73,8.99,3.295836866
?,male,?,0.687705656701,2,night,13,7.36,1.94591014906
?,female,721,0.850362943722,7,early_morning,133,3.966,0.0
?,female,1135,0.801915724171,3,post_midnight,1177,5.76,2.7080502011
?,female,747,0.668946922577,3,post_midnight,305,4.34,2.77258872224
?,male,?,0.420007001445,1,post_midnight,241,22.21,2.94443897917
?,female,301,0.649503201251,3,early_morning,409,6.07,1.79175946923
?,female,368,1.00932095451,3,post_midnight,51,3.585,1.38629436112
22,male,1026,0,10,night,171,3.59,1.09861228867
?,female,1487,0.660999989594,4,post_midnight,658,11.051,1.09861228867
?,female,990,0.673570975054,10,morning,125,5.22,1.38629436112
22,female,634,0.658660444362,2,evening,143,6.364,2.77258872224
22,female,364,0.731968841364,11,evening,459,7.75,3.04452243772
22,male,1092,0,2,morning,457,17.259,2.19722457734
18,female,1038,0.37833394128,6,early_morning,48,4.049,0.0
?,male,1093,0.726967939852,10,post_midnight,139,6.763,0
?,female,412,1.06149376994,8,post_midnight,7016,4.022,3.33220451018
20,male,1077,0.408775326015,11,evening,474,6.444,0.69314718056
?,female,981,0.697904245151,1,evening,21,17.38,2.56494935746
20,male,809,0.915017418672,2,early_morning,205,4.67,2.30258509299
?,female,1146,0.916088110003,1,early_morning,0,4.271,0
21,female,567,0.943794965287,11,post_midnight,17,16.535,3.25809653802
?,female,624,0.671700570435,12,early_morning,4,2.33,0
21,male,1252,0.6683051878,11,morning,64,32.81,3.63758615973
?,female,732,0.904946841212,2,evening,3,6.1,1.79175946923
21,male,1389,0.785195832777,1,night,137,14.03,3.40119738166
22,female,284,0.812970782108,8,post_midnight,7,2.63,0
22,female,983,0.756096178319,5,post_midnight,117,10.46,0.69314718056
18,male,349,0.84337932358,11,early_morning,59,7.23,1.60943791243
22,male,829,0.680448717949,11,post_midnight,649,8.656,2.07944154168
21,male,716,0,12,post_midnight,285,4.167,0.0
?,female,739,0.738144070632,6,post_midnight,511,5.582,1.60943791243
?,male,1012,0.711769430851,1,post_midnight,84,4.091,0
20,male,1017,0.788020633936,8,night,241,4.84,0.0
24,?,3258,0.691719010617,3,early_morning,628,13.162,0
?,female,598,0.528457539806,10,evening,43,3.88,1.38629436112
19,female,1106,0.761169443632,12,evening,51,17.95,3.13549421593
23,female,653,0.520772773934,2,post_midnight,165,8.593,0.0
?,female,?,0.61926536809,7,early_morning,122,17.4,2.8903717579
21,male,692,1.085230361,7,evening,140,14.602,3.04452243772
19,male,605,0.694568343391,1,evening,76,6.4,2.3978952728
17,female,431,0.5932007523,10,evening,37,1.267,0
21,male,1748,0.701873291669,7,early_morning,133,16.27,4.27666611902
?,male,748,0.721705121467,5,post_midnight,47,6.78,0.0
?,male,692,0.638451081214,12,early_morning,1103,5.423,1.38629436112
22,male,1026,0.737440392117,8,early_morning,53,3.59,0
22,male,492,0.621699242199,12,afternoon,42,3.283,1.38629436112
20,male,866,0.927711571309,9,night,1492,5.031,1.38629436112
?,female,1138,0,8,post_midnight,20,8.582,0
21,female,2083,0.956539918054,1,afternoon,42,9.29,1.60943791243
?,male,1514,0.880931865888,12,early_morning,51,12.94,2.30258509299
?,female,668,0.703896391927,3,evening,361,6.07,2.19722457734
?,female,924,0.815815226715,1,afternoon,63,7.615,1.60943791243
?,female,707,0.593339976837,3,post_midnight,90,11.37,1.38629436112
?,?,801,0.842577198807,4,early_morning,23,5.53,1.38629436112
22,male,353,0.614073301665,1,morning,144,2.87,1.38629436112
?,male,586,1.25690423421,11,post_midnight,47,6.051,1.94591014906
18,male,349,1.00016884982,6,night,239,7.23,1.79175946923
?,female,484,0.635183410861,4,evening,784,4.613,0
?,male,1042,0.651161050523,2,post_midnight,119,10.61,2.30258509299
21,female,2008,1.07872926306,12,evening,142,13.505,2.30258509299
?,male,748,0.993351221285,4,afternoon,167,6.78,3.36729582999
19,female,1106,0.670194875238,10,evening,?,17.95,0.69314718056
?,female,458,0.806209390768,10,post_midnight,599,2.626,1.09861228867
?,male,767,0.560666582157,3,evening,13,2.58,2.19722457734
?,female,593,0.650589104798,9,post_midnight,?,6.706,1.09861228867
?,female,875,0.762918693245,11,post_midnight,5,3.76,0.69314718056
?,female,616,0.999565618897,6,post_midnight,22,4.908,0.0
21,female,567,0.798892865248,9,evening,22,16.535,1.38629436112
